department,job_title,skills
Data Scientist,"Python, Machine Learning, SQL, Statistics, Pandas, TensorFlow"
Machine Learning Engineer,"Python, TensorFlow, Deep Learning, PyTorch, NLP"
Data Analyst,"Excel, SQL, Power BI, Python, Statistics"
Web Developer,"HTML, CSS, JavaScript, React, Node.js"
AI Engineer,"Python, Deep Learning, Computer Vision, NLP, TensorFlow"
Cloud Engineer,"AWS, Docker, Kubernetes, Python"
Software Engineer,"Java, Python, Data Structures, Algorithms, Git"
DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Linux"
Cyber Security Analyst,"Network Security, Python, Linux, Ethical Hacking"
Mobile App Developer,"Java, Kotlin, Android, Firebase"
Computer Science,Data Scientist,"Python, Machine Learning, SQL, Statistics, Pandas, TensorFlow"
Computer Science,Software Engineer,"Java, Python, Data Structures, Algorithms, Git"
Computer Science,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
Mechanical,Mechanical Design Engineer,"CAD, SolidWorks, Thermodynamics, Manufacturing"
Mechanical,Automobile Engineer,"Automotive Systems, CAD, Mechanical Design, Simulation"
Civil,Civil Engineer,"AutoCAD, Structural Analysis, Surveying, Construction Management"
Civil,Structural Engineer,"Structural Design, AutoCAD, Concrete Technology"
Electrical,Electrical Engineer,"Circuit Design, MATLAB, Power Systems, Control Systems"
Electrical,Power Systems Engineer,"Power Electronics, Electrical Machines, MATLAB"
Electronics,Embedded Systems Engineer,"C Programming, Microcontrollers, Embedded Systems"
Electronics,VLSI Engineer,"VLSI Design, Verilog, Digital Electronics"
Business,Business Analyst,"Excel, Data Analysis, SQL, Power BI"
Business,Marketing Analyst,"Marketing Strategy, SEO, Data Analysis"
Management,Project Manager,"Project Management, Agile, Leadership"
Management,Operations Manager,"Operations Management, Supply Chain"
